"coin","category","tier","roi_1y_med","roi_3y_med","roi_5y_med","vol_daily","n_days","max_drawdown","recovery_days"
"AAVE","DeFi Protocols","Major","0.1727849410402842","-0.19175817754310798",NULL,"0.05947871646665962",1777,"-0.9217134617699234",NULL
"ADA","Blue Chip L1s","Blue Chip","0.15707517688674488","2.66929888850229","5.872459647241607","0.06580420259795058",2857,"-0.9798905964925005","351.0"
"AERO","AI & Tech","Speculative","1.234474490803205",NULL,NULL,"0.09867054580813685",699,"-0.8588592122254783",NULL
"AGIX","AI & Tech","Speculative","0.6919760183670689","2.072853030863113","12.424399048158925","0.12000799688716321",2769,"-0.9896307991756804","1451.0"
"AIOZ","AI & Tech","Speculative","-0.6216702384772653","0.9473802404018004",NULL,"0.08772686460413769",1595,"-0.9949689505777833",NULL
"AKT","AI & Tech","Speculative","0.07058560390108237","0.32169098833596654",NULL,"0.06490191724331265",1763,"-0.9751342393745378",NULL
"ALGO","Next-Gen L1s","Speculative","0.07206698123211697","-0.6495586380965386","-0.2194113145210561","0.06319468039132943",2247,"-0.9721134003771388",NULL
"APT","Emerging L1s","Speculative","-0.05398359418110993",NULL,NULL,"0.05710328264987614",1039,"-0.7868505379944654",NULL
"ARB","Layer 2s","Major","-0.42997149804769685",NULL,NULL,"0.049773377515252924",876,"-0.8835305647093121",NULL
"ATOM","Emerging L1s","Speculative","-0.21585230157559854","0.3395683102176976","0.5819796806826478","0.06433613905764227",2364,"-0.9177600834770616",NULL
"AVAX","Emerging L1s","Speculative","0.22649009769410666","0.003921003369073084",NULL,"0.06380541441422555",1788,"-0.934709244531005",NULL
"AXS","Metaverse & Gaming","Major","-0.35164276306537406","-0.8592422099354623",NULL,"0.07318650479014396",1753,"-0.9872358732143295",NULL
"BNB","Blue Chip L1s","Blue Chip","0.5899087313308401","10.109111325364058","31.105995793676076","0.47656849156134895",2887,"-0.8338919411839668","11.0"
"BONK","Meme & Community","Speculative","10.880530973451327",NULL,NULL,"0.12373532509477408",960,"-0.947787610619469","37.0"
"BRETT","Meme & Community","Speculative","-0.44273366259687985",NULL,NULL,"0.14501920605479604",533,"-0.8850607293479062",NULL
"BTC","Blue Chip L1s","Blue Chip","0.8054404858355986","3.437248894571399","13.507722402302708","0.03789728628328465",4489,"-0.8473121646192736","721.0"
"CRV","DeFi Protocols","Major","-0.3632143945181943","-0.7846920062668171","-0.7940887486283715","0.07514843187295106",1835,"-0.9863498163306661",NULL
"DAI","Stablecoins","Major","-0.0005381606278586082","-0.002104597748442405","-0.0038660337731999395","0.004247697758606256",2104,"-0.0864626767537473",NULL
"DOGE","Meme & Community","Major","0.27051844273561665","11.095729254341741","35.417885336059314","0.09362506192170363",4257,"-0.9539146067892429","746.0"
"DOT","Emerging L1s","Speculative","-0.3339846222054279","-0.6951036886831405",NULL,"0.054727770583282605",1822,"-0.9417154830250438",NULL
"DUSD","Infrastructure","Speculative",NULL,NULL,NULL,"0.0007850522673587645",93,"-0.006049293497028209",NULL
"ENJ","Metaverse & Gaming","Major","-0.14942030001512707","1.4775555357830634","1.628602234820082","0.07765883072476472",2844,"-0.9868603473004096",NULL
"ETH","Blue Chip L1s","Blue Chip","0.6077903091049717","4.698672618187114","14.669461550386352","0.05517510955792309",3659,"-0.9421439618111142","781.0"
"FET","AI & Tech","Speculative","0.7582544984720668","2.1376410510296298","20.5404722933537","0.07233168639155073",2359,"-0.977550330440525","357.0"
"FLOKI","Meme & Community","Speculative","1.519869541080681","2.3671129766647696",NULL,"0.9010257766561256",1517,"-0.9888421052631579","54.0"
"FRAX","Stablecoins","Major",NULL,NULL,NULL,"0.0006858171897658565",189,"-0.006264406337451814","24.0"
"GALA","Metaverse & Gaming","Speculative","-0.035644958426746864","-0.2800948650845241",NULL,"0.11064834970185827",1802,"-0.9825807686337712",NULL
"GMX","DeFi Protocols","Major","-0.2590538217773629","-0.3309180366963948",NULL,"0.06570840409141064",1439,"-0.8823323639103835",NULL
"HBAR","Next-Gen L1s","Speculative","0.4253819807570922","0.24833597516177663","4.036768684350005","0.07006804514913899",2158,"-0.9282306811222731",NULL
"ILV","Metaverse & Gaming","Major","-0.5467803344730686","-0.9384008652003833",NULL,"0.06247391504309095",1606,"-0.9947764949950372",NULL
"INJ","Infrastructure","Major","0.11567423352060824","1.9418633034467647",NULL,"0.06966880078961046",1758,"-0.9475234757624655","517.0"
"JUP","DeFi Protocols","Speculative","-0.4911513064232744",NULL,NULL,"0.0609091145848966",562,"-0.8102982629583867",NULL
"KAS","Next-Gen L1s","Speculative","3.6583519764543766","213.65047221365919",NULL,"0.08322080451916215",1178,"-0.7170209941313659",NULL
"LDO","DeFi Protocols","Major","-0.23034350072229037","-0.2724288967681594",NULL,"0.08814804144999565",1691,"-0.9297673534722621",NULL
"LINK","Infrastructure","Major","0.7548479209516565","1.2608104696516826","12.247698546206173","0.06430314418796158",2836,"-0.9013527832727027",NULL
"MANA","Metaverse & Gaming","Major","-0.12610605958330928","5.290481509858136","6.593495601885535","0.08273505839560147",2853,"-0.9603853432102695",NULL
"MATIC","Layer 2s","Major","-0.15329377762072327","21.23973962019096","23.890977648757808","0.07177962871130901",2302,"-0.9420415610950771",NULL
"MNT","Layer 2s","Major","0.37072531317749036",NULL,NULL,"0.042585109056692716",768,"-0.6281652250742416",NULL
"NEAR","Emerging L1s","Speculative","0.26581907565330787","-0.2187332894844427",NULL,"0.06544195364126569",1766,"-0.9512412836558809",NULL
"OCEAN","Infrastructure","Speculative","0.7004340097957931","0.36216007236012515","15.549552952858962","0.07193048687463321",2295,"-0.9343499104326453",NULL
"OP","Layer 2s","Major","0.18757704523191432","-0.0569339623967845",NULL,"0.06520107858756492",1172,"-0.8964431029770634",NULL
"PAXG","Payments & RWA","Major","0.10284718543952664","0.22551928463167892","0.8157387300172108","0.010046151747793426",2169,"-0.22841822571925802","526.0"
"PEPE","Meme & Community","Major","6.697368421052631",NULL,NULL,"0.09587056704830851",850,"-0.8354838709677419","162.0"
"PYUSD","Payments & RWA","Major","0.0006370468883039049",NULL,NULL,"0.0016410884515508327",734,"-0.019825639551179122",NULL
"QNT","Infrastructure","Major","0.27272863961055727","10.535850602238767","27.747598369534252","0.06699929880632248",2603,"-0.8882909913824067",NULL
"RENDER","AI & Tech","Speculative","1.7090131542047453","6.4330179538180925","40.733605969709764","0.0843275680931544",1887,"-0.9584166065651665","620.0"
"SAND","Metaverse & Gaming","Major","-0.1705963926270191","-0.5800657484699917","4.397283094728899","0.07541877580977108",1834,"-0.9697434150679946",NULL
"SEI","Infrastructure","Speculative","-0.16689546442455105",NULL,NULL,"0.06397288982036586",731,"-0.8648348214732018",NULL
"SHIB","Meme & Community","Major","0.34285714285714297","0.9377652050919376","14299.411522633747","0.8286076841702066",1826,"-0.941358024691358","51.0"
"SKI","Meme & Community","Speculative","7.44888800731357",NULL,NULL,"0.20599571328418387",481,"-0.9866438954730502","57.0"
"SOL","Blue Chip L1s","Blue Chip","1.570125704911804","3.5425271131903373","206.10925083831467","0.0656169689760945",1951,"-0.9629771193758434","751.0"
"STRK","Layer 2s","Major","-0.8749708642348399",NULL,NULL,"0.056873376755069156",550,"-0.9611399140639275",NULL
"STX","Layer 2s","Major","0.8984956286362127","0.9751899863381592","6.1118875617477135","0.07170123944987354",2128,"-0.9306211369352775","426.0"
"SUI","Next-Gen L1s","Speculative","1.876655758245123",NULL,NULL,"0.05703793181159421",834,"-0.7432098398294702","68.0"
"TIA","Next-Gen L1s","Speculative","-0.7265099504170796",NULL,NULL,"0.06816204292569303",654,"-0.9331102165739753",NULL
"TRX","Emerging L1s","Speculative","0.4004373668136627","2.2906020677631846","4.368833862117522","0.06827960583327615",2836,"-0.9631632603360578","1727.0"
"TUSD","Stablecoins","Major","-0.0004952633475345247","-0.0010806330403288489","-0.0015367874014475258","0.004279458335006971",2711,"-0.12132660182906459",NULL
"UNI","DeFi Protocols","Major","-0.1416466695651472","-0.33453488953629984",NULL,"0.06552904653394291",1793,"-0.9159238707078541",NULL
"USDC","Stablecoins","Major","-0.00022381903869950204","-0.00047888157257669484","-0.0006176308320325896","0.0029026577010142626",2514,"-0.07464205765036852",NULL
"USDT","Stablecoins","Major","0.0","-0.00010138519215457942","0.00028336709358012246","0.016688730233942527",3809,"-0.5269047068156277","1238.0"
"WIF","Meme & Community","Major","-0.5797568260076484",NULL,NULL,"0.3579503706326256",611,"-0.9304580342972122",NULL
"XAUT","Payments & RWA","Major","0.09715234260839578","0.29704284718613705","0.8601227063857533","0.008823761846908978",2036,"-0.19036142524470784","161.0"
"XLM","Payments & RWA","Major","0.09786107498330743","0.9455531189466414","6.208834925834395","0.10222185359440078",4021,"-0.9628637036969355",NULL
"XRP","Payments & RWA","Major","0.13876933685602344","1.4252542790038425","13.978883802887188","0.0707246192906299",4388,"-0.9594433936059086","1953.0"
"ZK","Layer 2s","Major","-0.6552279256630036",NULL,NULL,"0.0582213670668751",432,"-0.8523643608909791",NULL
