coin,category,tier,mean_price,median_price,vol_daily,roi_1y_med,roi_3y_med,roi_5y_med,n_days
AAVE,DeFi Protocols,Major,166.29088875013505,115.0272379,0.05947871646665962,0.1727849410402842,-0.19175817754310798,,1777
ADA,Blue Chip L1s,Blue Chip,0.4942418290892544,0.351605069,0.06580420259795058,0.15707517688674488,2.66929888850229,5.872459647241607,2857
AERO,AI & Tech,Speculative,0.7320644003090129,0.711792564,0.09867054580813685,1.234474490803205,,,699
AGIX,AI & Tech,Speculative,0.22410626527446734,0.165363923,0.12000799688716321,0.6919760183670689,2.072853030863113,12.424399048158925,2769
AIOZ,AI & Tech,Speculative,0.31352163069153605,0.23707999,0.08772686460413769,-0.6216702384772653,0.9473802404018004,,1595
AKT,AI & Tech,Speculative,1.9885213299166196,1.489435469,0.06490191724331265,0.07058560390108237,0.32169098833596654,,1763
ALGO,Next-Gen L1s,Speculative,0.46348676255006677,0.267808567,0.06319468039132943,0.07206698123211697,-0.6495586380965386,-0.2194113145210561,2247
APT,Emerging L1s,Speculative,7.9954690355743905,7.385447097190132,0.05710328264987614,-0.05398359418110993,,,1039
ARB,Layer 2s,Major,0.919559930400685,0.8900795175,0.049773377515252924,-0.42997149804769685,,,876
ATOM,Emerging L1s,Speculative,10.249634745208544,7.7164273135000006,0.06433613905764227,-0.21585230157559854,0.3395683102176976,0.5819796806826478,2364
AVAX,Emerging L1s,Speculative,30.404457639112415,22.73798249,0.06380541441422555,0.22649009769410666,0.003921003369073084,,1788
AXS,Metaverse & Gaming,Major,18.801647320270323,7.036548671570065,0.07318650479014396,-0.35164276306537406,-0.8592422099354623,,1753
BNB,Blue Chip L1s,Blue Chip,249.13448946119328,242.5556996,0.47656849156134895,0.5899087313308401,10.109111325364058,31.105995793676076,2887
BONK,Meme & Community,Speculative,1.4467903958333333e-05,1.47e-05,0.12373532509477408,10.880530973451327,,,960
BRETT,Meme & Community,Speculative,0.08047749822138837,0.070800401,0.14501920605479604,-0.44273366259687985,,,533
BTC,Blue Chip L1s,Blue Chip,21437.560391064155,8561.519329,0.03789728628328465,0.8054404858355986,3.437248894571399,13.507722402302708,4489
CRV,DeFi Protocols,Major,1.3020748225029433,0.8205004485681487,0.07514843187295106,-0.3632143945181943,-0.7846920062668171,-0.7940887486283715,1835
DAI,Stablecoins,Major,1.0014142414837803,1.0001714409251625,0.004247697758606256,-0.0005381606278586082,-0.002104597748442405,-0.0038660337731999395,2104
DOGE,Meme & Community,Major,0.05909840655837444,0.003062395,0.09362506192170363,0.27051844273561665,11.095729254341741,35.417885336059314,4257
DOT,Emerging L1s,Speculative,11.476066881104831,6.470892375,0.054727770583282605,-0.3339846222054279,-0.6951036886831405,,1822
DUSD,Infrastructure,Speculative,0.9999852817613697,0.9999983030167516,0.0007850522673587645,,,,93
ENJ,Metaverse & Gaming,Major,0.4718967725280502,0.1905396217994069,0.07765883072476472,-0.14942030001512707,1.4775555357830634,1.628602234820082,2844
ETH,Blue Chip L1s,Blue Chip,1240.6274842217247,608.2733109,0.05517510955792309,0.6077903091049717,4.698672618187114,14.669461550386352,3659
FET,AI & Tech,Speculative,0.4875897375052988,0.270056607,0.07233168639155073,0.7582544984720668,2.1376410510296298,20.5404722933537,2359
FLOKI,Meme & Community,Speculative,7.33316117336849e-05,3.71e-05,0.9010257766561256,1.519869541080681,2.3671129766647696,,1517
FRAX,Stablecoins,Major,0.9992063945090112,0.9997310491481444,0.0006858171897658565,,,,189
GALA,Metaverse & Gaming,Speculative,0.05712766098789099,0.026077535192378,0.11064834970185827,-0.035644958426746864,-0.2800948650845241,,1802
GMX,DeFi Protocols,Major,35.89542315352192,33.73551864963197,0.06570840409141064,-0.2590538217773629,-0.3309180366963948,,1439
HBAR,Next-Gen L1s,Speculative,0.12106790099953661,0.069185531,0.07006804514913899,0.4253819807570922,0.24833597516177663,4.036768684350005,2158
ILV,Metaverse & Gaming,Major,182.4007546571457,64.57950683587725,0.06247391504309095,-0.5467803344730686,-0.9384008652003833,,1606
INJ,Infrastructure,Major,12.13198726313652,9.240035235499999,0.06966880078961046,0.11567423352060824,1.9418633034467647,,1758
JUP,DeFi Protocols,Speculative,0.7975498852206405,0.7923581885,0.0609091145848966,-0.4911513064232744,,,562
KAS,Next-Gen L1s,Speculative,0.0758553212843803,0.077510858,0.08322080451916215,3.6583519764543766,213.65047221365919,,1178
LDO,DeFi Protocols,Major,2.0317802285169373,1.8633480990621067,0.08814804144999565,-0.23034350072229037,-0.2724288967681594,,1691
LINK,Infrastructure,Major,10.334890761903033,7.544217361499999,0.06430314418796158,0.7548479209516565,1.2608104696516826,12.247698546206173,2836
MANA,Metaverse & Gaming,Major,0.4964148970117961,0.294812405085842,0.08273505839560147,-0.12610605958330928,5.290481509858136,6.593495601885535,2853
MATIC,Layer 2s,Major,0.6063290760086881,0.531096362,0.07177962871130901,-0.15329377762072327,21.23973962019096,23.890977648757808,2302
MNT,Layer 2s,Major,0.7526372940751082,0.7079964262544627,0.042585109056692716,0.37072531317749036,,,768
NEAR,Emerging L1s,Speculative,4.475977217887882,3.4077026884999997,0.06544195364126569,0.26581907565330787,-0.2187332894844427,,1766
OCEAN,Infrastructure,Speculative,0.42769408310806095,0.366760921,0.07193048687463321,0.7004340097957931,0.36216007236012515,15.549552952858962,2295
OP,Layer 2s,Major,1.6678955835179181,1.5013826875,0.06520107858756492,0.18757704523191432,-0.0569339623967845,,1172
PAXG,Payments & RWA,Major,2050.4648719564725,1896.853859155232,0.010046151747793426,0.10284718543952664,0.22551928463167892,0.8157387300172108,2169
PEPE,Meme & Community,Major,7.365043529411764e-06,7.62e-06,0.09587056704830851,6.697368421052631,,,850
PYUSD,Payments & RWA,Major,0.9995604717131849,0.9996499981517356,0.0016410884515508327,0.0006370468883039049,,,734
QNT,Infrastructure,Major,72.69157385242951,74.06214532,0.06699929880632248,0.27272863961055727,10.535850602238767,27.747598369534252,2603
RENDER,AI & Tech,Speculative,2.8127789064361424,1.805772174,0.0843275680931544,1.7090131542047453,6.4330179538180925,40.733605969709764,1887
SAND,Metaverse & Gaming,Major,0.8402282613159924,0.4693741519340477,0.07541877580977108,-0.1705963926270191,-0.5800657484699917,4.397283094728899,1834
SEI,Infrastructure,Speculative,0.3773997362407661,0.328925392,0.06397288982036586,-0.16689546442455105,,,731
SHIB,Meme & Community,Major,1.339249126736035e-05,1.12e-05,0.8286076841702066,0.34285714285714297,0.9377652050919376,14299.411522633747,1826
SKI,Meme & Community,Speculative,0.05587990885654886,0.038438694,0.20599571328418387,7.44888800731357,,,481
SOL,Blue Chip L1s,Blue Chip,79.69094136046591,42.2957804,0.0656169689760945,1.570125704911804,3.5425271131903373,206.10925083831467,1951
STRK,Layer 2s,Major,0.6040833134920748,0.3997284339109832,0.056873376755069156,-0.8749708642348399,,,550
STX,Layer 2s,Major,0.9582965479848778,0.7065675753270146,0.07170123944987354,0.8984956286362127,0.9751899863381592,6.1118875617477135,2128
SUI,Next-Gen L1s,Speculative,1.8114937015095922,1.2942816929999998,0.05703793181159421,1.876655758245123,,,834
TIA,Next-Gen L1s,Speculative,6.971176905235474,5.403675872,0.06816204292569303,-0.7265099504170796,,,654
TRX,Emerging L1s,Speculative,0.07976558235155148,0.063340387,0.06827960583327615,0.4004373668136627,2.2906020677631846,4.368833862117522,2836
TUSD,Stablecoins,Major,1.0003032104706753,0.9999338927430164,0.004279458335006971,-0.0004952633475345247,-0.0010806330403288489,-0.0015367874014475258,2711
UNI,DeFi Protocols,Major,10.619627606515897,7.091711653,0.06552904653394291,-0.1416466695651472,-0.33453488953629984,,1793
USDC,Stablecoins,Major,1.0008415699659452,1.0000827826648138,0.0029026577010142626,-0.00022381903869950204,-0.00047888157257669484,-0.0006176308320325896,2514
USDT,Stablecoins,Major,1.0006338785566993,1.0,0.016688730233942527,0.0,-0.00010138519215457942,0.00028336709358012246,3809
WIF,Meme & Community,Major,1.5925485233387888,1.529943952,0.3579503706326256,-0.5797568260076484,,,611
XAUT,Payments & RWA,Major,2083.648811558495,1909.2655263273418,0.008823761846908978,0.09715234260839578,0.29704284718613705,0.8601227063857533,2036
XLM,Payments & RWA,Major,0.13217033562422284,0.096141238,0.10222185359440078,0.09786107498330743,0.9455531189466414,6.208834925834395,4021
XRP,Payments & RWA,Major,0.4683897529986326,0.3148704355,0.0707246192906299,0.13876933685602344,1.4252542790038425,13.978883802887188,4388
ZK,Layer 2s,Major,0.11335844558692167,0.10961688760188645,0.0582213670668751,-0.6552279256630036,,,432
